Aggregation Strategy,Test AUROC,AUROC Loss (%)
FedAvg,0.8849661539995134,0.0
FedProx (μ=0.001),0.8591193492849806,2.5846804714532823
FedProx (μ=0.01),0.8591193492849806,2.5846804714532823
FedProx (μ=0.1),0.8591193492849806,2.5846804714532823
