Strategy,# Runs,Mean AUROC,Std Dev,95% CI (Low),95% CI (High)
FedAvg,5,0.8849661539995134,0.0,0.8849661539995134,0.8849661539995134
FedProx(μ=0.001),5,0.8498674861287576,0.02486153735695,0.8246657744410953,0.8651809639584233
FedProx(μ=0.01),5,0.8498674861287576,0.02486153735695,0.8237570897930633,0.8657566057356997
