# Clients,AUROC,Training Time (s),Throughput (samples/sec),AUROC Loss (%)
7,0.8849661539995134,1.83574652671814,24889.601769632216,0.0
14,0.8849035348859212,2.290337085723877,19949.46520527525,0.00626191135921772
21,0.8847056458153114,2.554985761642456,17883.074217457804,0.026050818420197963
28,0.8847230693460749,3.028516292572021,15086.9256051438,0.024308465343847452
