scenario,label,auroc,auprc,ece,recall,precision,f2,threshold
clean,FedAvg (Raw),0.8784204191095273,0.6023499205978845,0.23378169735113813,0.9990566037735849,0.11447411090692898,0.3924838781409829,0.05
clean,FedAvg (Calibrated),0.8784204191095273,0.6023499205978845,0.00908355139544769,0.4349056603773585,0.6984848484848485,0.4704081632653061,0.39
clean,FedProx (Calibrated),0.821972671655757,0.5244757824689963,0.007191764243891962,0.36698113207547167,0.6971326164874552,0.405377240516882,0.39
clean,"FedF2 (Calibrated, γ=0.5)",0.8780574746673638,0.5999271119019386,0.00888057014062207,0.4339622641509434,0.6980273141122914,0.4694835680751174,0.39
poisoned,Poisoned FedAvg (Raw),0.7983540539781261,0.4448243520883488,0.7204735591306275,1.0,0.10827374872318693,0.37776193870277974,0.05
poisoned,Poisoned FedAvg (Calibrated),0.7983540539781261,0.4448243520883488,0.008136149768100703,0.28679245283018867,0.6785714285714286,0.3242320819112628,0.39
poisoned,"Poisoned FedF2 (Calibrated, γ=0.5)",0.7947396286923843,0.4371838110078003,0.008256199405171248,0.2811320754716981,0.6819221967963387,0.3185802865084456,0.39
