auroc,brier,ece,recall,precision,seed,use_dp
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,44,False
0.5363829721629001,0.34094230294129224,0.365452323784313,0.4650735294117647,0.1368677305923722,44,True
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,42,False
0.4507749352900627,0.3873613563100484,0.4127429849406372,0.3694852941176471,0.10062578222778473,42,True
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,45,False
0.7779250095459829,0.2918708313481623,0.30490828609792636,0.7481617647058824,0.21591511936339522,45,True
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,46,False
0.31419071606698745,0.5935707129963109,0.5994762601986714,0.37316176470588236,0.0700120710467322,46,True
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,47,False
0.542465632349562,0.4425676597808243,0.45336917858634007,0.515625,0.1166077738515901,47,True
