scenario,num_malicious,attack_type,strategy,test_auroc,test_recall,test_precision,test_f2,test_ece,threshold,success
adaptive-1,1,adaptive,FedAvg,0.8562756216733695,0.839622641509434,0.227330779054917,0.545677498467198,0.25316544602660185,0.37,True
adaptive-1,1,adaptive,FedProx (μ=0.01),0.5166284525103568,0.47452830188679246,0.11465694096193299,0.2915266025269503,0.4402648594211599,0.01,True
adaptive-1,1,adaptive,Median,0.8710406208197639,0.8386792452830188,0.25465482669722145,0.574957961453887,0.22479256947091883,0.36,True
adaptive-1,1,adaptive,Krum,0.8653134677347902,0.8349056603773585,0.25163491612169464,0.5704524945210777,0.20754997314242604,0.33,True
adaptive-1,1,adaptive,FedF2 (γ=0.5),0.8570755257237819,0.8358490566037736,0.23321926822848119,0.5510635651200398,0.2558868865504816,0.38,True
adaptive-2,2,adaptive,FedAvg,0.8254781811934486,0.8528301886792453,0.1981587023235423,0.5135196546239491,0.30495648548261506,0.4,True
adaptive-2,2,adaptive,FedProx (μ=0.01),0.47280677395444126,0.4688679245283019,0.10136651029981644,0.27179262824018374,0.48940675821960095,0.01,True
adaptive-2,2,adaptive,Median,0.8353242512582578,0.8358490566037736,0.21050130672368733,0.5243224050183454,0.2459259069375408,0.34,True
adaptive-2,2,adaptive,Krum,0.8510868884024178,0.8462264150943396,0.21915465428780845,0.5382215288611545,0.2314145184352559,0.33,True
adaptive-2,2,adaptive,FedF2 (γ=0.5),0.8182278284058321,0.8509433962264151,0.19257045260461145,0.505378753922008,0.3190641324722384,0.41,True
