Model,AUROC,Brier Score,ECE,Recall,Precision
Centralized LR,0.8920,0.0617,0.0088,0.852,0.302
FedAvg (Baseline),0.8898,0.0617,0.0088,0.863,0.239
FedProx (μ=0.01),0.8591,0.0841,0.0832,0.380,0.630
With DP-SGD (ε=1.0),0.8646,0.3874,—,0.853,0.236
With Byzantine Attack (1/7),0.8618,0.0617,0.0088,0.489,0.645
