Model,Training,Centralized_AUROC,Federated_AUROC,Centralized_Recall,Federated_Recall,Centralized_Precision,Federated_Precision,Centralized_F2,Federated_F2
Logistic Regression,Centralized,0.8913708729393649,,0.8535031847133758,,0.28858578607322327,,0.6133658834299665,
MLP (31→64→32→1),Centralized,0.9185118174635046,,0.8563340410474168,,0.355359765051395,,0.6679916087004527,
XGBoost,Centralized,0.9242534990266957,,0.851380042462845,,0.3746496418561196,,0.6786641092180977,
XGBoost,Federated,0.9242534990266957,0.9155018441781612,0.851380042462845,0.8535031847133758,0.3746496418561196,0.3462532299741602,0.6786641092180977,0.6600985221674877
