,mean,std,cv
Feature_18,0.42593151765286535,0.44226055271256004,1.0383372311813817
Feature_19,0.4213046756905346,0.3753796085845687,0.8909932176026935
Feature_6,0.3828825321893535,0.2463298548806077,0.6433562102508923
Feature_7,0.5851385672557939,0.2394288842080437,0.40918322190062906
Feature_3,0.58939353568464,0.18973558286333292,0.32191663358325756
Feature_8,0.2886209861741734,0.1641766810392108,0.5688314048658107
Feature_11,0.1958738653055698,0.1630949884183284,0.8326531370782658
Feature_0,0.49676989233279406,0.13429818633748078,0.27034284567212113
Feature_22,0.07954844076649939,0.1162073513372587,1.4608375754135163
Feature_17,0.14882796505236504,0.1158772941801976,0.7785989289004002
