model,centralized_auroc,centralized_recall,centralized_precision,federated_auroc,federated_recall,federated_precision,centralized_threshold,federated_threshold
logistic_regression,0.8816014504811526,0.8330188679245283,0.28687459389213776,0.8782499140991868,0.8311320754716981,0.2779179810725552,0.38,0.4
mlp,0.9111778568233339,0.8207547169811321,0.37387193811774816,0.870058866368589,0.8188679245283019,0.2831050228310502,0.1,0.04
